timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1731425005915,20,HTTP Request,200,,Users 1-38,text,true,,4221,271,39,39,http://localhost:9494/VehicleRegistration/,4,0,2
1731425005789,146,HTTP Request,200,,Users 1-20,text,true,,4221,271,39,39,http://localhost:9494/VehicleRegistration/,117,0,71
1731425005915,5,HTTP Request-0,302,,Users 1-38,,true,,168,135,39,39,http://localhost:9494/VehicleRegistration,4,0,2
1731425005789,131,HTTP Request-0,302,,Users 1-20,,true,,168,135,39,39,http://localhost:9494/VehicleRegistration,117,0,71
1731425005923,12,HTTP Request-1,200,,Users 1-38,text,true,,4053,136,39,39,http://localhost:9494/VehicleRegistration/,12,0,0
1731425005925,10,HTTP Request-1,200,,Users 1-20,text,true,,4053,136,39,39,http://localhost:9494/VehicleRegistration/,10,0,0
1731425005833,103,HTTP Request,200,,Users 1-34,text,true,,4221,271,39,39,http://localhost:9494/VehicleRegistration/,73,0,31
1731425005833,87,HTTP Request-0,302,,Users 1-34,,true,,168,135,39,39,http://localhost:9494/VehicleRegistration,73,0,31
1731425005925,11,HTTP Request-1,200,,Users 1-34,text,true,,4053,136,39,39,http://localhost:9494/VehicleRegistration/,11,0,0
1731425005776,162,HTTP Request,200,,Users 1-27,text,true,,4221,271,39,39,http://localhost:9494/VehicleRegistration/,130,0,74
1731425005776,144,HTTP Request-0,302,,Users 1-27,,true,,168,135,39,39,http://localhost:9494/VehicleRegistration,130,0,74
1731425005903,35,HTTP Request,200,,Users 1-36,text,true,,4221,271,39,39,http://localhost:9494/VehicleRegistration/,12,0,7
1731425005924,14,HTTP Request-1,200,,Users 1-27,text,true,,4053,136,39,39,http://localhost:9494/VehicleRegistration/,14,0,0
1731425005903,17,HTTP Request-0,302,,Users 1-36,,true,,168,135,39,39,http://localhost:9494/VehicleRegistration,12,0,7
